,gen,gene_name,description,te_family_suzukii,te_class_suzukii
0,CG11374,cg11374,,nf_47_GYPSY_1,LTR/GYPSY
1,CG11450,net,,nf_47_GYPSY_1,LTR/GYPSY
2,CG11376,zir,,nf_23_HELITRON_1,DNA/RC
3,CG11377,creld,Cysteine rich with EGF like,nf_23_HELITRON_1,DNA/RC
4,CR44185,lncrna:cr44185,long non-coding,nf_138_GYPSY_1,LTR/GYPSY
5,CG31975,cg31975,dicistronic,nf_138_GYPSY_1,LTR/GYPSY
6,CG31976,ovm,oven,nf_138_GYPSY_1,LTR/GYPSY
7,CG31974,cg31974,,nf_138_GYPSY_1,LTR/GYPSY
8,CG11454,cg11454,,nf_138_GYPSY_1,LTR/GYPSY
9,CG42399,cg42399,,nf_138_GYPSY_1,LTR/GYPSY
10,CG3436,cg3436,,nf_185_TIR_2,DNA/DNA
11,CG33635,cg33635,,nf_185_TIR_2,DNA/DNA
12,CR42959,mir-965,mir-965 stem,nf_243_MITE_1,DNA/MITE
13,CR44218,lncrna:cr44218,long non-coding,nf_243_MITE_1,DNA/MITE
14,CG11606,rpp30,RNaseP protein,nf_243_MITE_1,DNA/MITE
15,CG3645,dus1,Dihydrouridine synthase,nf_243_MITE_1,DNA/MITE
16,CG4063,ebi,,nf_381_TIR_1,DNA/DNA
17,CG13690,cg13690,,nf_381_TIR_1,DNA/DNA
18,CG4087,rplp1,Ribosomal protein,nf_381_TIR_1,DNA/DNA
19,CG11885,cg11885,,nf_381_TIR_1,DNA/DNA
20,CG13692,cg13692,,nf_381_TIR_1,DNA/DNA
21,CG13691,bbs8,Bardet-Biedl syndrome,nf_381_TIR_1,DNA/DNA
22,CG4184,med15,Mediator complex subunit,Mariner-1_LSal,DNA/TC1MARINER
23,CG4427,cbt,,Mariner-1_LSal,DNA/TC1MARINER
24,CG11838,rempa,reduced mechanoreceptor potential,nf_26_COPIA_1,LTR/COPIA
25,CG2789,tspo,Translocator,nf_26_COPIA_1,LTR/COPIA
26,CG11835,uncnacbeta,uncharacterized nascent polypeptide-associated complex beta,nf_26_COPIA_1,LTR/COPIA
27,CG2794,cg2794,,nf_26_COPIA_1,LTR/COPIA
28,CG2863,nle,,nf_26_COPIA_1,LTR/COPIA
29,CG2807,sf3b1,Splicing factor 3b subunit,nf_26_COPIA_1,LTR/COPIA
30,CG13688,ipk2,Inositol phosphate kinase,nf_26_COPIA_1,LTR/COPIA
31,CG2813,cold,,nf_26_COPIA_1,LTR/COPIA
32,CG13687,ptth,Prothoracicotropic,nf_26_COPIA_1,LTR/COPIA
33,CG2819,pph13,PvuII-PstI homology,nf_26_COPIA_1,LTR/COPIA
34,CG2851,gsc,,nf_381_TIR_1,DNA/DNA
35,CG3159,eaat2,Excitatory amino acid transporter,nf_381_TIR_1,DNA/DNA
36,CG3544,cg3544,,nf_381_TIR_1,DNA/DNA
37,CG3324,pkg21d,Protein kinase%2C cGMP-dependent at,nf_381_TIR_1,DNA/DNA
38,CG3561,dbp21e2,DEAD box protein,nf_381_TIR_1,DNA/DNA
39,CG3883,saf6,SAGA factor-like,nf_381_TIR_1,DNA/DNA
40,CG3639,pex12,Peroxin,nf_381_TIR_1,DNA/DNA
41,CG15880,cg15880,,nf_381_TIR_1,DNA/DNA
42,CG3876,pgap2,Post-GPI attachment to proteins,nf_381_TIR_1,DNA/DNA
43,CG4291,cg4291,,nf_23_HELITRON_1,DNA/RC
44,CG3943,kraken,,nf_23_HELITRON_1,DNA/RC
45,CG13949,cg13949,,nf_23_HELITRON_1,DNA/RC
46,CR45345,lncrna:cr45345,long non-coding,nf_23_HELITRON_1,DNA/RC
47,CR42884,mir-375,mir-375 stem,nf_23_HELITRON_1,DNA/RC
48,CG13950,cg13950,,nf_23_HELITRON_1,DNA/RC
49,CG4276,aru,,nf_23_HELITRON_1,DNA/RC
50,CG4258,dbe,,nf_380_TIR_1,DNA/DNA
51,CG9117,cg9117,,nf_380_TIR_1,DNA/DNA
52,CG33526,pnuts,Phosphatase 1 nuclear targeting,nf_380_TIR_1,DNA/DNA
53,CG15824,cg15824,,nf_380_TIR_1,DNA/DNA
54,CG3966,ninaa,neither inactivation nor afterpotential,nf_380_TIR_1,DNA/DNA
55,CG4178,lsp1beta,Larval serum protein 1,nf_159_LINE_1,LINE/JOCKEY
56,CR45261,lncrna:cr45261,long non-coding,nf_159_LINE_1,LINE/JOCKEY
57,CR44061,lncrna:cr44061,long non-coding,nf_159_LINE_1,LINE/JOCKEY
58,CG4226,gluriic,Glutamate receptor,nf_159_LINE_1,LINE/JOCKEY
59,CG4341,tmtc2,Transmembrane O-mannosyltransferase targeting cadherins,nf_381_TIR_1,DNA/DNA
60,CG15427,tutl,,nf_381_TIR_1,DNA/DNA
61,CR44059,lncrna:cr44059,long non-coding,nf_138_GYPSY_1,LTR/GYPSY
62,CR44058,lncrna:cr44058,long non-coding,nf_138_GYPSY_1,LTR/GYPSY
63,CR45720,lncrna:cr45720,long non-coding,nf_138_GYPSY_1,LTR/GYPSY
64,CG11767,or24a,Odorant receptor,nf_158_LTR_1,LTR/LTR
65,CG4099,sr-ci,Scavenger receptor class C%2C type,nf_47_GYPSY_1,LTR/GYPSY
66,CG31774,fred,friend of,nf_322_TIR_1,DNA/CMC
67,CG31773,fpgs2,Folylpolyglutamate synthase,nf_26_COPIA_1,LTR/COPIA
68,CR44077,lncrna:cr44077,long non-coding,nf_26_COPIA_1,LTR/COPIA
69,CR44076,lncrna:cr44076,long non-coding,nf_26_COPIA_1,LTR/COPIA
70,CG3407,cg3407,,nf_26_COPIA_1,LTR/COPIA
71,CG3920,reph,Regulator of eph,nf_26_COPIA_1,LTR/COPIA
72,CG3921,bark,bark,nf_355_TIR_1,DNA/DNA
73,CG10021,bowl,brother of odd with entrails,nf_64_LTR_2,LTR/BELPAO
74,CG43707,cg43707,,nf_381_TIR_1,DNA/DNA
75,CG10019,cg10019,,nf_381_TIR_1,DNA/DNA
76,CG33122,cutlet,,nf_355_TIR_1,DNA/DNA
77,CG42685,cg42685,,nf_360_HELITRON_1,DNA/RC
78,CR44857,lncrna:cr44857,long non-coding,nf_360_HELITRON_1,DNA/RC
79,CG31835,cg31835,,nf_360_HELITRON_1,DNA/RC
80,CG34166,cg34166,,nf_360_HELITRON_1,DNA/RC
81,CR46411,lncrna:cr46411,long non-coding,nf_117_TIR_1,DNA/CMC
82,CG4691,cg4691,,nf_61_LTR_1,LTR/BELPAO
83,CG42313,side-ii,sidestep,nf_381_TIR_1,DNA/DNA
84,CG15270,wwk,white,nf_381_TIR_1,DNA/DNA
85,CR33536,trna:leu-taa-2-1,,nf_381_TIR_1,DNA/DNA
86,CG43230,cg43230,,nf_381_TIR_1,DNA/DNA
87,CG15263,cg15263,,nf_85_I_1,LINE/I
88,CG31733,ms(2)35ci,male sterile (2),nf_85_I_1,LINE/I
89,CR43764,lncrna:cr43764,long non-coding,nf_85_I_1,LINE/I
90,CG3758,esg,,nf_23_HELITRON_1,DNA/RC
91,CG4161,cg4161,,nf_138_GYPSY_1,LTR/GYPSY
92,CR45372,lncrna:cr45372,long non-coding,nf_355_TIR_1,DNA/DNA
93,CG6634,mid,,nf_23_HELITRON_1,DNA/RC
94,CR45730,lncrna:cr45730,long non-coding,Jockey-5_DAn,LINE/JOCKEY
95,CR44742,lncrna:cr44742,long non-coding,Jockey-5_DAn,LINE/JOCKEY
96,CR44743,lncrna:cr44743,long non-coding,Jockey-5_DAn,LINE/JOCKEY
97,CG14030,bub1,Bub1,nf_157_PIFHARBINGER_1,DNA/PIFHARBINGER
98,CG14025,nin,,nf_157_PIFHARBINGER_1,DNA/PIFHARBINGER
99,CG14031,cyp4ac3,Cytochrome P450,nf_157_PIFHARBINGER_1,DNA/PIFHARBINGER
100,CG17970,cyp4ac2,Cytochrome P450,nf_378_TIR_1,DNA/DNA
101,CG14032,cyp4ac1,Cytochrome P450,nf_378_TIR_1,DNA/DNA
102,CR44744,lncrna:cr44744,long non-coding,nf_378_TIR_1,DNA/DNA
103,CG6514,tpnc25d,Troponin C at,Mariner-1_DF,DNA/TC1MARINER
104,CG7742,cg7742,,Mariner-1_DF,DNA/TC1MARINER
105,CG10833,cyp28d1,Cytochrome P450,Mariner-1_DF,DNA/TC1MARINER
106,CG31650,cg31650,,nf_381_TIR_1,DNA/DNA
107,CG14041,sp555,dicistronic,nf_381_TIR_1,DNA/DNA
108,CG14042,cg14042,dicistronic,nf_381_TIR_1,DNA/DNA
109,CG4145,col4a1,Collagen type IV alpha,nf_381_TIR_1,DNA/DNA
110,CG16858,vkg,,nf_381_TIR_1,DNA/DNA
111,CG3515,cg3515,,nf_381_TIR_1,DNA/DNA
112,CR46069,asrna:cr46069,antisense,nf_381_TIR_1,DNA/DNA
113,CG3528,cg3528,,nf_381_TIR_1,DNA/DNA
114,CR44607,lncrna:cr44607,long non-coding,nf_381_TIR_1,DNA/DNA
115,CR45286,lncrna:cr45286,long non-coding,nf_18_LTR_1,LTR/GYPSY
116,CR31987,trna:tyr-gta-1-3,,nf_18_LTR_1,LTR/GYPSY
117,CG18641,cg18641,,nf_381_TIR_1,DNA/DNA
118,CG9887,vglut,Vesicular glutamate,nf_381_TIR_1,DNA/DNA
119,CG46448,cg46448,,nf_10_TIR_1,DNA/DNA
120,CG3664,rab5,,nf_381_TIR_1,DNA/DNA
121,CG33955,eys,eyes,nf_381_TIR_1,DNA/DNA
122,CR43753,lncrna:cr43753,long non-coding,nf_381_TIR_1,DNA/DNA
123,CG4270,cg4270,,Gypsy-30_DWil-I_1,LTR/GYPSY
124,CR44788,lncrna:cr44788,long non-coding,Gypsy-30_DWil-I_1,LTR/GYPSY
125,CR44787,lncrna:cr44787,long non-coding,Gypsy-30_DWil-I_1,LTR/GYPSY
126,CR42859,lncrna:cr42859,long non-coding,nf_360_HELITRON_1,DNA/RC
127,CG4267,cg4267,,nf_360_HELITRON_1,DNA/RC
128,CG31682,tengl1,Testis EndoG-Like,nf_360_HELITRON_1,DNA/RC
129,CG32463,tengl2,Testis EndoG-Like,nf_360_HELITRON_1,DNA/RC
130,CG31679,tengl3,Testis EndoG-Like,nf_360_HELITRON_1,DNA/RC
131,CR44115,asrna:cr44115,antisense,nf_360_HELITRON_1,DNA/RC
132,CG10882,sec24cd,Secretory,nf_360_HELITRON_1,DNA/RC
133,CR43751,lncrna:cr43751,long non-coding,nf_339_TIR_1,DNA/DNA
134,CG3166,aop,anterior,nf_339_TIR_1,DNA/DNA
135,CG15382,cg15382,,nf_23_HELITRON_1,DNA/RC
136,CG7263,aif,Apoptosis inducing,nf_23_HELITRON_1,DNA/RC
137,CG10223,top2,Topoisomerase,nf_23_HELITRON_1,DNA/RC
138,CG9999,rangap,Ran GTPase activating,nf_23_HELITRON_1,DNA/RC
139,CG10234,hs2st,Heparan sulfate,nf_23_HELITRON_1,DNA/RC
140,CG10237,cg10237,,nf_243_MITE_1,DNA/MITE
141,CG9994,rab9,,nf_243_MITE_1,DNA/MITE
142,CG13387,emb,,nf_360_HELITRON_1,DNA/RC
143,CR44991,lncrna:cr44991,long non-coding,nf_360_HELITRON_1,DNA/RC
144,CG13396,fy,,nf_360_HELITRON_1,DNA/RC
145,CG13386,cg13386,,nf_360_HELITRON_1,DNA/RC
146,CG13385,cg13385,,nf_360_HELITRON_1,DNA/RC
147,CG42820,cg42820,,nf_360_HELITRON_1,DNA/RC
148,CR32989,snrna:u6atac,,nf_360_HELITRON_1,DNA/RC
149,CG42819,cg42819,,nf_360_HELITRON_1,DNA/RC
150,CG13384,cg13384,,nf_360_HELITRON_1,DNA/RC
151,CR45371,asrna:cr45371,antisense,nf_81_I_1,LINE/I
152,CG14273,cg14273,,nf_81_I_1,LINE/I
153,CG14274,witty,without,nf_81_I_1,LINE/I
154,CG14275,cg14275,,nf_81_I_1,LINE/I
155,CG7781,cg7781,,nf_378_TIR_1,DNA/DNA
156,CG7851,scgalpha,Sarcoglycan,nf_381_TIR_1,DNA/DNA
157,CG7870,wol,,nf_381_TIR_1,DNA/DNA
158,CG8049,btk,Bruton tyrosine,nf_381_TIR_1,DNA/DNA
159,CR43752,lncrna:cr43752,long non-coding,nf_381_TIR_1,DNA/DNA
160,CR31899,trna:lys-ttt-1-1,,nf_381_TIR_1,DNA/DNA
161,CG8086,cg8086,,nf_360_HELITRON_1,DNA/RC
162,CG8137,spn28f,Serpin,nf_360_HELITRON_1,DNA/RC
163,CG14277,cg14277,,nf_360_HELITRON_1,DNA/RC
164,CG8222,pvr,PDGF- and VEGF-receptor,nf_47_GYPSY_1,LTR/GYPSY
165,CG4758,trp1,Translocation protein,nf_381_TIR_1,DNA/DNA
166,CG13131,cg13131,,nf_381_TIR_1,DNA/DNA
167,CG4908,bcs1,Bcs1,nf_23_HELITRON_1,DNA/RC
168,CG5708,cg5708,,nf_23_HELITRON_1,DNA/RC
169,CG5694,ova,ovaries,nf_23_HELITRON_1,DNA/RC
170,CG4912,eef1delta,eukaryotic translation elongation factor 1,nf_23_HELITRON_1,DNA/RC
171,CG31720,mthl15,methuselah-like,nf_23_HELITRON_1,DNA/RC
172,CG4916,me31b,maternal expression at,nf_380_TIR_1,DNA/DNA
173,CG4455,cg4455,,nf_143_GYPSY_2,LTR/GYPSY
174,CG5809,cabp1,calcium-binding protein,nf_143_GYPSY_2,LTR/GYPSY
175,CG17330,jhamt,juvenile hormone acid,nf_215_TIR_1,DNA/TC1MARINER
176,CG5888,cg5888,,nf_378_TIR_1,DNA/DNA
177,CG4952,dac,,nf_308_GYPSY_1,LTR/GYPSY
178,CR45354,lncrna:cr45354,long non-coding,nf_10_TIR_1,DNA/DNA
179,CR45355,lncrna:cr45355,long non-coding,nf_10_TIR_1,DNA/DNA
180,CR46376,snorna:me18s-g1506,,nf_381_TIR_1,DNA/DNA
181,CG17914,yellow-b,,nf_77_I_1,LINE/I
182,CG13278,ppk17,pickpocket,nf_77_I_1,LINE/I
183,CG17927,mhc,Myosin heavy,nf_77_I_1,LINE/I
184,CG31743,cg31743,dicistronic,nf_159_LINE_1,LINE/JOCKEY
185,CG34313,cg34313,dicistronic,nf_159_LINE_1,LINE/JOCKEY
186,CG6115,osi,,nf_159_LINE_1,LINE/JOCKEY
187,CG2774,snx1,Sorting nexin,nf_159_LINE_1,LINE/JOCKEY
188,CG2772,cg2772,,nf_159_LINE_1,LINE/JOCKEY
189,CG3254,pgant2,Polypeptide N-Acetylgalactosaminyltransferase,nf_381_TIR_1,DNA/DNA
190,CG3289,ptpa,Phosphotyrosyl phosphatase,nf_381_TIR_1,DNA/DNA
191,CG9662,cg9662,,nf_381_TIR_1,DNA/DNA
192,CG12399,mad,Mothers against,nf_381_TIR_1,DNA/DNA
193,CG12400,nd-b14.5b,NADH dehydrogenase (ubiquinone) B14.5 B,nf_381_TIR_1,DNA/DNA
194,CG3524,fasn2,Fatty acid synthase,nf_23_HELITRON_1,DNA/RC
195,CG17221,cg17221,,nf_23_HELITRON_1,DNA/RC
196,CG17262,cnir,cornichon,nf_23_HELITRON_1,DNA/RC
197,CG17260,cg17260,,nf_23_HELITRON_1,DNA/RC
198,CG17259,serrs,Seryl-tRNA,nf_23_HELITRON_1,DNA/RC
199,CG17258,cg17258,,nf_23_HELITRON_1,DNA/RC
200,CG17257,gabpi,beta4GalNAcTB,nf_23_HELITRON_1,DNA/RC
201,CR44147,asrna:cr44147,antisense,nf_47_GYPSY_1,LTR/GYPSY
202,CG17219,cg17219,,nf_47_GYPSY_1,LTR/GYPSY
203,CG3605,sf3b2,Splicing factor 3b subunit,nf_47_GYPSY_1,LTR/GYPSY
204,CG3542,prp40,pre-mRNA processing factor,nf_47_GYPSY_1,LTR/GYPSY
205,CG17223,alpha4gt1,alpha1%2C4-galactosyltransferase,nf_47_GYPSY_1,LTR/GYPSY
206,CG17264,cg17264,,nf_47_GYPSY_1,LTR/GYPSY
207,CG9894,bacc,,nf_164_MITE_1,DNA/MITE
208,CG3127,pgk,Phosphoglycerate,nf_164_MITE_1,DNA/MITE
209,CG2843,cwc25,,nf_164_MITE_1,DNA/MITE
210,CG9961,cg9961,,nf_164_MITE_1,DNA/MITE
211,CG2903,hrs,Hepatocyte growth factor regulated tyrosine kinase,nf_164_MITE_1,DNA/MITE
212,CG31689,cg31689,,nf_105_PIFHARBINGER_1,DNA/PIFHARBINGER
213,CG31690,tmtc1,Transmembrane O-mannosyltransferase targeting cadherins,nf_105_PIFHARBINGER_1,DNA/PIFHARBINGER
214,CR46327,lncrna:ts4,long noncoding RNA: testis-specific,nf_378_TIR_1,DNA/DNA
215,CR46328,lncrna:cr46328,long non-coding,nf_378_TIR_1,DNA/DNA
216,CR45705,lncrna:ts11,long noncoding RNA: testis-specific,nf_23_HELITRON_1,DNA/RC
217,CG43403,cg43403,,nf_23_HELITRON_1,DNA/RC
218,CR44789,lncrna:cr44789,long non-coding,nf_381_TIR_1,DNA/DNA
219,CR44790,lncrna:cr44790,long non-coding,nf_381_TIR_1,DNA/DNA
220,CG3225,cg3225,,nf_85_I_1,LINE/I
221,CG15629,cg15629,,nf_85_I_1,LINE/I
222,CR45297,lncrna:cr45297,long non-coding,nf_85_I_1,LINE/I
223,CG3244,slf,,nf_85_I_1,LINE/I
224,CG3294,cg3294,,nf_378_TIR_1,DNA/DNA
225,CG15630,fipi,factor of interpulse,nf_23_HELITRON_1,DNA/RC
226,CG11929,cg11929,,nf_23_HELITRON_1,DNA/RC
227,CG12205,elba1,Early boundary activity,nf_23_HELITRON_1,DNA/RC
228,CR45452,lncrna:cr45452,long non-coding,Gypsy-30_DWil-I_1,LTR/GYPSY
229,CG15438,mfs18,Major Facilitator Superfamily Transporter,nf_205_CR1_2,LINE/CR1
230,CG15433,elp3,Elongator complex protein,nf_205_CR1_2,LINE/CR1
231,CG15437,morgue,modifier of rpr and grim%2C ubiquitously,nf_205_CR1_2,LINE/CR1
232,CG15432,cg15432,,nf_205_CR1_2,LINE/CR1
233,CG15431,cg15431,,nf_205_CR1_2,LINE/CR1
234,CR31963,trna:trp-cca-2-1,,nf_381_TIR_1,DNA/DNA
235,CG3058,dim1,,nf_23_HELITRON_1,DNA/RC
236,CG3048,traf4,TNF-receptor-associated factor,nf_80_I_1,LINE/I
237,CR45363,lncrna:cr45363,long non-coding,nf_80_I_1,LINE/I
238,CG15429,cg15429,,nf_80_I_1,LINE/I
239,CR44700,lncrna:cr44700,long non-coding,Gypsy-12_DEl-I,LTR/GYPSY
240,CR44699,lncrna:cr44699,long non-coding,Gypsy-12_DEl-I,LTR/GYPSY
241,CR44698,lncrna:cr44698,long non-coding,Gypsy-12_DEl-I,LTR/GYPSY
242,CG4385,s,,nf_76_R1_1,LINE/R1
243,CG4426,ast,,nf_76_R1_1,LINE/R1
244,CG4428,atg4a,Autophagy-related,nf_381_TIR_1,DNA/DNA
245,CG4629,cg4629,,nf_381_TIR_1,DNA/DNA
246,CR45717,lncrna:cr45717,long non-coding,nf_253_TIR_1,DNA/DNA
247,CG4726,mfs3,Major Facilitator Superfamily Transporter,nf_253_TIR_1,DNA/DNA
248,CG5397,cg5397,,nf_10_TIR_1,DNA/DNA
249,CR44898,lncrna:cr44898,long non-coding,nf_23_HELITRON_1,DNA/RC
250,CG5481,robo2,roundabout,nf_23_HELITRON_1,DNA/RC
251,CR44897,asrna:cr44897,antisense,nf_23_HELITRON_1,DNA/RC
252,CG31936,gr22e,Gustatory receptor,nf_23_HELITRON_1,DNA/RC
253,CG31665,wry,,nf_381_TIR_1,DNA/DNA
254,CG31663,cg31663,,nf_381_TIR_1,DNA/DNA
255,CG7295,cg7295,,nf_80_I_1,LINE/I
256,CR44075,lncrna:cr44075,long non-coding,nf_80_I_1,LINE/I
257,CG7337,wdr62,WD repeat domain,nf_108_LINE_1,LINE/CR1
258,CG31670,erm,,nf_381_TIR_1,DNA/DNA
259,CR31942,trna:arg-tct-2-1,,nf_10_TIR_1,DNA/DNA
260,CG10908,der-1,,nf_10_TIR_1,DNA/DNA
261,CG15356,cg15356,,nf_77_I_1,LINE/I
262,CG15362,cg15362,,nf_77_I_1,LINE/I
263,CG7289,cg7289,,nf_77_I_1,LINE/I
264,CG7291,npc2a,Niemann-Pick type,nf_378_TIR_1,DNA/DNA
265,CR42874,lncrna:cr42874,long non-coding,nf_378_TIR_1,DNA/DNA
266,CG33543,cg33543,,nf_378_TIR_1,DNA/DNA
267,CR43464,asrna:cr43464,antisense,nf_378_TIR_1,DNA/DNA
268,CG15353,cg15353,,nf_47_GYPSY_1,LTR/GYPSY
269,CR45712,asrna:cr45712,antisense,nf_47_GYPSY_1,LTR/GYPSY
270,CG15361,nplp4,Neuropeptide-like precursor,nf_381_TIR_1,DNA/DNA
271,CR31943,trna:gln-ctg-2-2,,nf_381_TIR_1,DNA/DNA
272,CR31944,trna:gln-ctg-2-3,,nf_119_I_2,LINE/I
273,CG4238,cg4238,,nf_119_I_2,LINE/I
274,CR31939,trna:gln-ctg-2-4,,nf_119_I_2,LINE/I
275,CR31940,trna:gln-ctg-3-1,,nf_119_I_2,LINE/I
276,CR31669,trna:gln-ctg-2-5,,nf_119_I_2,LINE/I
277,CR31980,trna:gly-gcc-2-1,,nf_355_TIR_1,DNA/DNA
278,CG42296,cg42296,,nf_355_TIR_1,DNA/DNA
279,CG14402,cg14402,,nf_10_TIR_1,DNA/DNA
280,CG9326,vari,,nf_355_TIR_1,DNA/DNA
281,CG9324,pomp,,nf_355_TIR_1,DNA/DNA
282,CG1759,cad,,nf_355_TIR_1,DNA/DNA
283,CG1864,hr38,Hormone receptor-like in,nf_10_TIR_1,DNA/DNA
284,CR44188,lncrna:cr44188,long non-coding,nf_10_TIR_1,DNA/DNA
285,CR44187,lncrna:cr44187,long non-coding,nf_10_TIR_1,DNA/DNA
286,CG2615,ikkepsilon,I-kappaB kinase,nf_107_L2_1,LINE/L2
287,CG31678,cg31678,,nf_107_L2_1,LINE/L2
288,CR45004,lncrna:cr45004,long non-coding,nf_107_L2_1,LINE/L2
289,CR42978,mir-288,mir-288 stem,nf_378_TIR_1,DNA/DNA
290,CR43011,mir-133,mir-133 stem,nf_378_TIR_1,DNA/DNA
291,CR43608,lncrna:cr43608,long non-coding,nf_381_TIR_1,DNA/DNA
292,CG31677,cg31677,,nf_381_TIR_1,DNA/DNA
293,CR46323,lncrna:ts1,long noncoding RNA: testis-specific,nf_355_TIR_1,DNA/DNA
294,CR45707,lncrna:cr45707,long non-coding,nf_10_TIR_1,DNA/DNA
295,CG44270,cg44270,,nf_10_TIR_1,DNA/DNA
296,CG32975,nachralpha5,nicotinic Acetylcholine Receptor,nf_381_TIR_1,DNA/DNA
297,CG16876,nimc4,Nimrod,nf_381_TIR_1,DNA/DNA
298,CG46301,cg46301,,nf_138_GYPSY_1,LTR/GYPSY
299,CG43333,cg43333,,nf_25_CR1_1,LINE/CR1
300,CG4551,dyrk2,Dual-specificity tyrosine phosphorylation-regulated kinase,nf_378_TIR_1,DNA/DNA
301,CR44728,lncrna:cr44728,long non-coding,nf_292_LTR_1,LTR/LTR
302,CR44216,lncrna:cr44216,long non-coding,nf_138_GYPSY_1,LTR/GYPSY
303,CG42677,wb,wing,nf_26_COPIA_1,LTR/COPIA
304,CR44729,lncrna:cr44729,long non-coding,nf_26_COPIA_1,LTR/COPIA
305,CG32971,cg32971,,nf_26_COPIA_1,LTR/COPIA
306,CG7480,pgant35a,Polypeptide N-acetylgalactosaminyltransferase,nf_381_TIR_1,DNA/DNA
307,CG4215,spel1,,nf_381_TIR_1,DNA/DNA
308,CG4220,elb,elbow,nf_10_TIR_1,DNA/DNA
309,CG15284,pburs,Partner of,nf_23_HELITRON_1,DNA/RC
310,CG3474,cpr35b,Cuticular protein,nf_23_HELITRON_1,DNA/RC
311,CR45726,lncrna:cr45726,long non-coding,P_DG,DNA/P
312,CG15283,cg15283,,P_DG,DNA/P
313,CR44731,lncrna:cr44731,long non-coding,nf_10_TIR_1,DNA/DNA
314,CG4491,noc,no,nf_10_TIR_1,DNA/DNA
315,CR31985,trna:pro-agg-1-1,,nf_10_TIR_1,DNA/DNA
316,CR45303,lncrna:cr45303,long non-coding,nf_10_TIR_1,DNA/DNA
317,CR45693,lncrna:cr45693,long non-coding,nf_10_TIR_1,DNA/DNA
318,CR31977,trna:gly-gcc-1-4,,nf_378_TIR_1,DNA/DNA
319,CR31978,trna:gly-gcc-1-5,,nf_378_TIR_1,DNA/DNA
320,CR31982,trna:gly-gcc-1-6,,nf_378_TIR_1,DNA/DNA
321,CG33648,cg33648,,nf_280_TIR_1,DNA/DNA
322,CR31981,trna:gly-gcc-1-7,,nf_280_TIR_1,DNA/DNA
323,CR44852,lncrna:cr44852,long non-coding,nf_280_TIR_1,DNA/DNA
324,CG4218,cg4218,,nf_10_TIR_1,DNA/DNA
325,CR44853,lncrna:cr44853,long non-coding,nf_10_TIR_1,DNA/DNA
326,CR44854,lncrna:cr44854,long non-coding,nf_10_TIR_1,DNA/DNA
327,CR44855,lncrna:cr44855,long non-coding,nf_81_I_1,LINE/I
328,CR44856,lncrna:cr44856,long non-coding,nf_10_TIR_1,DNA/DNA
329,CR43823,lncrna:cr43823,long non-coding,nf_23_HELITRON_1,DNA/RC
330,CR46324,lncrna:ts2,long noncoding RNA: testis-specific,nf_23_HELITRON_1,DNA/RC
331,CG3242,sob,sister of odd and,nf_23_HELITRON_1,DNA/RC
332,CG43815,cg43815,,nf_23_HELITRON_1,DNA/RC
333,CR43822,lncrna:cr43822,long non-coding,nf_360_HELITRON_1,DNA/RC
334,CG8853,ift57,Intraflagellar transport,nf_23_HELITRON_1,DNA/RC
335,CG15415,spindly,,nf_23_HELITRON_1,DNA/RC
336,CG8852,cg8852,,nf_23_HELITRON_1,DNA/RC
337,CG8851,cg8851,,nf_23_HELITRON_1,DNA/RC
338,CR44864,lncrna:cr44864,long non-coding,nf_381_TIR_1,DNA/DNA
339,CR43761,lncrna:cr43761,long non-coding,nf_381_TIR_1,DNA/DNA
340,CG15255,cg15255,,nf_69_LINE_1,LINE/R1
341,CR44865,lncrna:cr44865,long non-coding,nf_69_LINE_1,LINE/R1
342,CG15254,cg15254,,nf_69_LINE_1,LINE/R1
343,CG15253,cg15253,,nf_69_LINE_1,LINE/R1
344,CG17868,or35a,Odorant receptor,nf_293_LINE_1,LINE/I
345,CG18801,ku80,,nf_215_TIR_1,DNA/TC1MARINER
346,CG31826,cg31826,,nf_215_TIR_1,DNA/TC1MARINER
347,CR44602,lncrna:cr44602,long non-coding,nf_23_HELITRON_1,DNA/RC
348,CG13243,cg13243,,nf_26_COPIA_1,LTR/COPIA
349,CG4767,tektin-a,Tektin,nf_381_TIR_1,DNA/DNA
350,CG7653,cg7653,,nf_23_HELITRON_1,DNA/RC
351,CG18096,tep1,Thioester-containing protein,nf_23_HELITRON_1,DNA/RC
352,CG31821,cg31821,,nf_360_HELITRON_1,DNA/RC
353,CR44867,lncrna:cr44867,long non-coding,nf_360_HELITRON_1,DNA/RC
354,CG34167,cg34167,,nf_38_GYPSY_1,LTR/GYPSY
355,CR43826,lncrna:cr43826,long non-coding,nf_38_GYPSY_1,LTR/GYPSY
356,CG13245,cg13245,dicistronic,nf_38_GYPSY_1,LTR/GYPSY
357,CG43816,cg43816,dicistronic,nf_38_GYPSY_1,LTR/GYPSY
358,CR44844,lncrna:cr44844,long non-coding,nf_38_GYPSY_1,LTR/GYPSY
359,CR44870,lncrna:cr44870,long non-coding,nf_381_TIR_1,DNA/DNA
360,CG4891,cg4891,,nf_328_P_1,DNA/P
361,CG46309,cg46309,dicistronic,nf_23_HELITRON_1,DNA/RC
362,CG4993,prl-1,PRL-1,nf_23_HELITRON_1,DNA/RC
363,CR43620,lncrna:cr43620,long non-coding,nf_10_TIR_1,DNA/DNA
